Index,施設名,lat,lon
536,認定こども園いなほガーデン星の子幼稚園,43.126803639301606, 141.22059829726425
537,認定こども園手稲札幌アカデミー,43.13658283255588, 141.26804159883181
538,札幌北陽保育園,43.1391099397976, 141.20987559709081
539,手稲桃の花保育園,43.119091569906296, 141.23932637892148
540,札幌市手稲区保育・子育て支援センター,43.11556303475539, 141.24005556068153
541,新発寒みつばち保育園,43.12395488297148, 141.26845975952872
542,新発寒たんぽぽ保育園,43.11883114435984, 141.2777773475319
543,宮の沢さくら保育園,43.0958072941248, 141.26101193579532
544,手稲みつばち保育園 (R5.4.1開設),43.12658555666212, 141.2472370915608
545,スター保育園前田園,43.12706966811032, 141.2537910453578
546,さより第2保育園,43.11200352847093, 141.25183283955838
547,富丘バオバブ保育園,43.103289886927165, 141.25296389803657
548,つくし保育園(0歳分園含む),43.108579186608765, 141.25197089858398
549,手稲中央さら~れ保育園(R5.4.1開設),43.1085832794727, 141.25418668245885
550,あすかぜ保育園,43.139044124436474, 141.22367655136668
551,ぴっころきっず手稲駅前,43.12010499075069, 141.24280798711123
552,第2手稲あじさい保育園,43.11778251015518, 141.2433442231878
553,手稲あじさい保育園,43.11787570469948, 141.24352860065687
554,キラキラ乳児保育園,43.11462053928422, 141.27908270414855
555,たからの杜星置保育園,43.1336918406575, 141.212066456087
556,さら~れ保育園前田園,43.132075412737834, 141.24381177991026
557,S.T.ナーサリーSCHOOL手稲前田,43.13200284641932, 141.24250983636733
558,さら~れ保育園富丘園,43.10857114370835, 141.25417221616556
559,富丘ニンニン保育園,43.10312228679499, 141.25303961990028
560,保育室ベリーベリー,43.12325145830471, 141.26365044693657
